scenario,profit_eur
994,1457422.9171880982
995,1411708.949636124
996,1487022.3941545922
997,1473085.9053617432
998,1504434.1268757558
999,1449756.1093671182
1000,823854.7293772167
1001,805171.7040847493
1002,815663.1470271081
1003,796251.7411323087
1004,545726.7406439362
1005,546320.2309754372
1006,544207.2242709887
1007,534182.9399797183
1008,523805.6461048737
1009,494962.2637176947
1010,493945.9331455529
1011,484813.4085512836
1012,1271976.515889266
1013,1250504.8194754554
1014,1283579.027778281
1015,1240243.3368557184
1016,1039331.8001917099
1017,1034187.5835278574
1018,1045947.7355191082
1019,1016698.8466768418
1020,775496.8561490001
1021,750353.3287960456
1022,755518.2581239506
1023,736863.3280181251
1024,1289326.8180659972
1025,1277812.4078201863
1026,1304203.712978465
1027,1256957.9598431163
1028,974376.73858228
1029,953262.7067440264
1030,950231.4538367317
1031,936451.8585169533
1032,1242100.4342514935
1033,1217992.3388341623
1034,1224593.321640345
1035,1201334.1663238988
1036,1537411.7168155648
1037,1516153.7781378957
1038,1537628.0463127093
1039,1498294.5868839957
1040,573800.0400905196
1041,558327.1439168483
1042,559895.8615751303
1043,549673.0456881981
1044,1068730.520030153
1045,1054767.5435235985
1046,1076611.1974739793
1047,1035400.9149553837
1048,1119520.9804541694
1049,1100987.492555466
1050,1107172.6647253365
1051,1079157.773995252
1052,1564261.164535853
1053,1542442.5488711484
1054,1544603.7201068185
1055,1507808.482563901
1056,1253357.1191461287
1057,1232196.0600284177
1058,1245990.3757217198
1059,1213686.4411943478
1060,1312997.8773903348
1061,1292138.610808785
1062,1300540.513064488
1063,1267563.4830026873
1064,1255271.6202417216
1065,1229293.8130399003
1066,1238955.2745390837
1067,1213817.1695846345
1068,1131371.1968767277
1069,1110423.4324830957
1070,1109714.3757561995
1071,1093858.2148413034
1072,1439881.4644173975
1073,1410313.248197048
1074,1420070.763011551
1075,1384311.364329509
1076,1457730.1868969793
1077,1437816.0110947825
1078,1456614.1994445953
1079,1412145.5701544965
1080,828283.482735551
1081,803828.4288335408
1082,808763.6390910232
1083,795124.1173695795
1084,532026.6192040127
1085,530375.8470441198
1086,524775.7407102038
1087,517427.644446224
1088,557879.566000628
1089,522970.8639644589
1090,520887.5143801671
1091,515187.7891717568
1092,1254369.504001697
1093,1227339.6501560195
1094,1248734.6674157693
1095,1215524.996397785
1096,1017835.5932275396
1097,1008468.6641346312
1098,1011868.1970372248
1099,990035.5106614062
1100,786522.8634506674
1101,755359.6505811361
1102,755881.0476844169
1103,742105.2298623471
1104,1261974.8047038917
1105,1245960.4234575117
1106,1261308.0925038964
1107,1222933.9129053366
1108,976258.6199644699
1109,947885.7792830351
1110,939773.8592810021
1111,932112.5474807068
1112,1235593.505753749
1113,1202599.3989270125
