h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
141.106250625,92.6606239375,129.9250009375,127.26875281250001,89.30312669999999,136.26250031249998,139.321873125,145.80937343750003,103.542748725,98.6701252125,91.3473739375,129.34687624999998,130.1812484375,129.22499937499998,89.78337542499999,97.0445,162.44062437499997,117.8078733,201.2968778125,212.20937687499998,187.75625250000002,116.78362329999999,168.97500031250001,159.98750187500002
141.106250625,92.6606239375,88.3490006375,86.54275191250001,89.30312669999999,136.26250031249998,139.321873125,145.80937343750003,103.542748725,98.6701252125,91.3473739375,87.95587584999998,88.5232489375,87.872999575,89.78337542499999,142.7125,110.45962457499999,173.2468725,201.2968778125,144.30237627499997,187.75625250000002,171.74062249999997,114.9030002125,108.791501275
141.106250625,92.6606239375,88.3490006375,86.54275191250001,131.3281275,136.26250031249998,139.321873125,145.80937343750003,103.542748725,145.1031253125,91.3473739375,87.95587584999998,130.1812484375,87.872999575,132.034375625,142.7125,162.44062437499997,173.2468725,201.2968778125,144.30237627499997,127.6742517,116.78362329999999,114.9030002125,108.791501275
141.106250625,92.6606239375,88.3490006375,86.54275191250001,89.30312669999999,136.26250031249998,139.321873125,145.80937343750003,152.268748125,98.6701252125,134.3343734375,87.95587584999998,88.5232489375,87.872999575,132.034375625,97.0445,110.45962457499999,173.2468725,136.8818769125,212.20937687499998,127.6742517,116.78362329999999,114.9030002125,159.98750187500002
171.6062521875,113.62375255,156.13750218750002,154.34999968749997,103.81050085,155.0937484375,155.434375,147.2125003125,92.6988739375,80.531123725,74.1922514875,90.24687406249998,66.2000003125,45.5687496875,31.745374574999996,53.479874575,106.859373125,99.20350085,159.9437525,155.8937503125,124.3906259375,72.016250425,95.0781271875,73.2906246875
171.6062521875,113.62375255,106.1735014875,104.95799978749999,103.81050085,155.0937484375,155.434375,147.2125003125,92.6988739375,80.531123725,74.1922514875,61.36787436249999,45.016000212499996,30.9867497875,31.745374574999996,78.646874375,72.664373725,145.88750125,159.9437525,106.0077502125,124.3906259375,105.90625062499998,64.65312648749999,49.8376247875
171.6062521875,113.62375255,106.1735014875,104.95799978749999,152.66250125,155.0937484375,155.434375,147.2125003125,92.6988739375,118.428123125,74.1922514875,61.36787436249999,66.2000003125,30.9867497875,46.684374375,78.646874375,106.859373125,145.88750125,159.9437525,106.0077502125,84.5856256375,72.016250425,64.65312648749999,49.8376247875
171.6062521875,113.62375255,106.1735014875,104.95799978749999,103.81050085,155.0937484375,155.434375,147.2125003125,136.3218734375,80.531123725,109.1062521875,61.36787436249999,45.016000212499996,30.9867497875,46.684374375,53.479874575,72.664373725,145.88750125,108.76175169999999,155.8937503125,84.5856256375,72.016250425,64.65312648749999,73.2906246875
37.58125,19.688125,21.671875,17.5874996875,16.4241252125,36.890625312500006,79.953123125,116.63437375,73.90324957499999,62.1307502125,36.0973747875,22.081249687499998,16.7875,20.871874999999996,35.49599915,54.77824914999999,132.7656221875,117.567748725,206.12499687499997,221.89687718750002,192.87499875000003,106.377502975,150.4312515625,124.706249375
37.58125,19.688125,14.736874999999998,11.9594997875,16.4241252125,36.890625312500006,79.953123125,116.63437375,73.90324957499999,62.1307502125,36.0973747875,15.0152497875,11.4155,14.192874999999997,35.49599915,80.55624875,90.2806230875,172.893748125,206.12499687499997,150.8898764875,192.87499875000003,156.437504375,102.29325106249999,84.800249575
